timestamp,hydro,thermal
2022-11-01 00:00:00,58.95,5.68
2022-11-01 01:00:00,58.69,4.12
2022-11-01 02:00:00,59.0,3.94
2022-11-01 03:00:00,58.59,3.94
2022-11-01 04:00:00,58.6,4.08
2022-11-01 05:00:00,58.71,6.34
2022-11-01 06:00:00,59.29,11.51
2022-11-01 07:00:00,59.03,19.51
2022-11-01 08:00:00,58.51,20.12
2022-11-01 09:00:00,57.54,20.07
2022-11-01 10:00:00,57.54,19.73
2022-11-01 11:00:00,58.66,18.14
2022-11-01 12:00:00,57.45,17.01
2022-11-01 13:00:00,56.66,14.79
2022-11-01 14:00:00,57.03,12.89
2022-11-01 15:00:00,56.74,12.88
2022-11-01 16:00:00,58.53,13.39
2022-11-01 17:00:00,58.84,16.27
2022-11-01 18:00:00,59.13,19.63
2022-11-01 19:00:00,58.08,21.17
2022-11-01 20:00:00,57.73,21.82
2022-11-01 21:00:00,58.65,17.85
2022-11-01 22:00:00,58.87,14.07
2022-11-01 23:00:00,58.96,8.29
2022-11-02 00:00:00,59.48,6.11
2022-11-02 01:00:00,59.0,4.79
2022-11-08 08:00:00,60.98,24.57
2022-11-08 09:00:00,59.26,25.83
2022-11-08 10:00:00,59.01,24.89
2022-11-08 11:00:00,59.61,23.48
2022-11-08 12:00:00,59.96,22.29
2022-11-08 13:00:00,59.62,21.05
2022-11-08 14:00:00,59.82,19.16
2022-11-08 15:00:00,60.77,17.53
2022-11-08 16:00:00,59.82,20.52
2022-11-08 17:00:00,60.37,24.02
2022-11-08 18:00:00,60.59,25.22
2022-11-08 19:00:00,60.09,24.48
2022-11-08 20:00:00,61.16,24.53
2022-11-08 21:00:00,59.87,22.76
2022-11-08 22:00:00,60.62,17.59
2022-11-08 23:00:00,60.42,13.25
2022-11-09 00:00:00,61.17,9.4
2022-11-09 01:00:00,61.47,8.14
2022-11-09 02:00:00,60.79,8.47
2022-11-09 03:00:00,60.59,8.58
2022-11-09 04:00:00,60.9,8.59
2022-11-09 05:00:00,61.06,9.09
2022-11-09 06:00:00,61.31,14.44
2022-11-09 07:00:00,57.53,23.45
2022-11-13 15:00:00,60.17,7.86
2022-11-13 16:00:00,60.48,7.7
2022-11-13 17:00:00,60.26,13.11
2022-11-13 18:00:00,59.4,16.65
2022-11-13 19:00:00,59.56,15.23
2022-11-13 20:00:00,60.18,13.23
2022-11-13 21:00:00,59.81,11.0
2022-11-13 22:00:00,59.83,6.75
2022-11-13 23:00:00,57.72,2.83
2022-11-14 00:00:00,57.6,0.0
2022-11-14 01:00:00,56.7,0.0
2022-11-14 02:00:00,56.11,0.0
2022-11-14 03:00:00,55.47,0.0
2022-11-14 04:00:00,55.75,0.0
2022-11-14 05:00:00,57.2,0.48
2022-11-14 06:00:00,58.64,4.75
2022-11-14 07:00:00,60.27,10.32
2022-11-14 08:00:00,59.02,12.33
2022-11-14 09:00:00,59.59,10.02
2022-11-14 10:00:00,58.55,10.21
2022-11-14 11:00:00,60.58,8.58
2022-11-14 12:00:00,61.95,8.72
2022-11-14 13:00:00,59.25,9.27
2022-11-14 14:00:00,59.04,8.49
2022-11-14 15:00:00,59.09,8.44
2024-12-12 15:00:00,48.27,17.88
2024-12-12 16:00:00,46.61,20.14
2024-12-12 17:00:00,47.68,22.45
2024-12-12 18:00:00,51.98,24.47
2024-12-12 19:00:00,52.04,25.58
2024-12-12 20:00:00,51.3,25.04
2024-12-12 21:00:00,52.14,22.57
2024-12-12 22:00:00,50.46,22.18
2024-12-12 23:00:00,48.17,20.46
2024-12-13 00:00:00,48.44,15.7
2024-12-13 01:00:00,45.17,15.51
2024-12-13 02:00:00,42.48,16.24
2024-12-13 03:00:00,42.45,15.83
2024-12-13 04:00:00,42.39,16.22
2024-12-13 05:00:00,43.14,16.21
2024-12-13 06:00:00,44.02,17.8
2024-12-13 07:00:00,46.91,21.33
2024-12-13 08:00:00,48.62,28.39
2024-12-13 09:00:00,49.82,28.33
2024-12-13 10:00:00,50.84,27.44
2024-12-13 11:00:00,50.64,27.46
2024-12-13 12:00:00,50.53,26.96
2024-12-13 13:00:00,49.62,26.47
2024-12-12 14:00:00,48.74,25.27
