timestamp,hydro,thermal
2022-11-01 00:00:00,58.95,5.68
2022-11-01 01:00:00,58.69,4.12
2022-11-01 02:00:00,59.0,3.94
2022-11-01 03:00:00,58.59,3.94
2022-11-01 04:00:00,58.6,4.08
2022-11-01 05:00:00,58.71,6.34
2022-11-01 06:00:00,59.29,11.51
2022-11-01 07:00:00,59.03,19.51
2022-11-01 08:00:00,58.51,20.12
2022-11-01 09:00:00,57.54,20.07
2022-11-01 10:00:00,57.54,19.73
2022-11-01 11:00:00,58.66,18.14
2022-11-01 12:00:00,57.45,17.01
2022-11-01 13:00:00,56.66,14.79
2022-11-01 14:00:00,57.03,12.89
2022-11-01 15:00:00,56.74,12.88
2022-11-01 16:00:00,58.53,13.39
2022-11-01 17:00:00,58.84,16.27
2022-11-01 18:00:00,59.13,19.63
2022-11-01 19:00:00,58.08,21.17
2022-11-01 20:00:00,57.73,21.82
2022-11-01 21:00:00,58.65,17.85
2022-11-01 22:00:00,58.87,14.07
2022-11-01 23:00:00,58.96,8.29
2022-11-02 00:00:00,59.48,6.11
2022-11-02 01:00:00,59.0,4.79
2022-11-08 08:00:00,60.98,24.57
2022-11-08 09:00:00,59.26,25.83
2022-11-08 10:00:00,59.01,24.89
2022-11-08 11:00:00,59.61,23.48
2022-11-08 12:00:00,59.96,22.29
2022-11-08 13:00:00,59.62,21.05
2022-11-08 14:00:00,59.82,19.16
2022-11-08 15:00:00,60.77,17.53
2022-11-08 16:00:00,59.82,20.52
2022-11-08 17:00:00,60.37,24.02
2022-11-08 18:00:00,60.59,25.22
2022-11-08 19:00:00,60.09,24.48
2022-11-08 20:00:00,61.16,24.53
2022-11-08 21:00:00,59.87,22.76
2022-11-08 22:00:00,60.62,17.59
2022-11-08 23:00:00,60.42,13.25
2022-11-09 00:00:00,61.17,9.4
2022-11-09 01:00:00,61.47,8.14
2022-11-09 02:00:00,60.79,8.47
2022-11-09 03:00:00,60.59,8.58
2022-11-09 04:00:00,60.9,8.59
2022-11-09 05:00:00,61.06,9.09
2022-11-09 06:00:00,61.31,14.44
2022-11-09 07:00:00,57.53,23.45
